,Rank,Nat,Class,SailNo,Helm,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,Total,Net,Club
0,1st,,Laser,208522,Robert Davis,2.0,1.0,(5.0),(36.0 DNF),1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,56.0,15.0,KYC/RCYC
1,2nd,,Laser,211711,Erik Bowers,1.0,4.0,10.0,4.0,(36.0 OCS),2.0,(12.0),4.0,7.0,12.0,3.0,3.0,98.0,50.0,MYC
2,3rd,,Laser,202694,Yanic Gentry,8.0,6.0,1.0,6.0,3.0,7.0,4.0,(15.0),8.0,(11.0),1.0,7.0,77.0,51.0,VYC
3,4th,,Laser,212108,Max Gallant,11.0,2.0,(13.0),2.0,2.0,12.0,5.0,(13.0),6.0,2.0,7.0,2.0,77.0,51.0,ROYAL VICTORIA
4,5th,,Laser,210459,Scott Rasmussen,4.0,(15.0),2.0,5.0,13.0,4.0,2.0,5.0,3.0,7.0,6.0,(36.0 OCS),102.0,51.0,LYC
5,6th,,Laser,180521,Marek Zaleski,9.0,(11.0),(14.0),8.0,7.0,3.0,9.0,3.0,2.0,4.0,11.0,4.0,85.0,60.0,NOROTON YC
6,7th,,Laser,200199,Hugh Macrae,10.0,8.0,11.0,1.0,6.0,(17.0),7.0,(14.0),5.0,10.0,2.0,5.0,96.0,65.0,KYC
7,8th,,Laser,206118,justin Norton,(36.0 OCS),3.0,9.0,7.0,5.0,5.0,8.0,6.0,14.0,3.0,(15.0),8.0,119.0,68.0,BYC
8,9th,,Laser,209071,Henry Marshall,5.0,(16.0),7.0,3.0,11.0,8.0,10.0,9.0,4.0,8.0,4.0,(14.0),99.0,69.0,
9,10th,,Laser,199796,Malcolm Lamphere,3.0,10.0,4.0,(22.0),10.0,9.0,3.0,10.0,10.0,6.0,9.0,(36.0 OCS),132.0,74.0,LGYC / CYC
10,11th,,Laser,209376,Luke Ruitenberg,(13.0),5.0,(16.0),9.0,8.0,6.0,6.0,12.0,13.0,13.0,8.0,6.0,115.0,86.0,RNSYS
11,12th,,Laser,206719,Noah Collinson,6.0,14.0,(19.0),10.0,4.0,10.0,(36.0 OCS),8.0,9.0,5.0,17.0,10.0,148.0,93.0,OST/RCYC
12,13th,,Laser,199544,Paul Didham,7.0,7.0,12.0,18.0,9.0,11.0,(36.0 OCS),2.0,(23.0),9.0,14.0,16.0,164.0,105.0,MISSION BAY YC
13,14th,,Laser,210653,Brendan Aulthouse,14.0,17.0,17.0,12.0,14.0,(23.0),(22.0),7.0,11.0,18.0,12.0,12.0,179.0,134.0,OST
14,15th,,Laser,208550,Matti Muru,19.0,13.0,3.0,11.0,18.0,14.0,16.0,(36.0 OCS),17.0,16.0,(20.0),13.0,196.0,140.0,BOULEVARD CLUB
15,16th,,Laser,210644,James Juhasz,17.0,(23.0),15.0,(23.0),15.0,13.0,11.0,11.0,19.0,17.0,13.0,9.0,186.0,140.0,ONTARIO SAILING
16,17th,,Laser,207217,John Kirkpatrick,22.0,(25.0),6.0,14.0,12.0,22.0,14.0,20.0,12.0,(23.0),10.0,11.0,191.0,143.0,SAIL NEWPORT
17,18th,,Laser,209383,Caleb Robinson,15.0,(20.0),(23.0),13.0,19.0,15.0,13.0,18.0,15.0,19.0,16.0,18.0,204.0,161.0,SAILMAINE
18,19th,,Laser,207218,Steven Kirkpatrick,16.0,9.0,18.0,15.0,(22.0),16.0,20.0,(21.0),21.0,15.0,18.0,17.0,208.0,165.0,SAIL NEWPORT /
19,20th,,Laser,195876,Jack Marshall,26.0,26.0,24.0,17.0,17.0,(27.0),15.0,17.0,16.0,14.0,(36.0 OCS),21.0,256.0,193.0,
20,21st,,Laser,4,Arie Moffat,12.0,24.0,(26.0),(29.0),24.0,19.0,19.0,16.0,18.0,26.0,21.0,19.0,253.0,198.0,KYC/RNSYS
21,22nd,,Laser,193337,Dave Wells,(27.0),19.0,(28.0),24.0,16.0,20.0,17.0,22.0,20.0,22.0,19.0,24.0,258.0,203.0,RYC
22,23rd,,Laser,203636,Spencer Dalzell,24.0,21.0,(30.0),19.0,26.0,25.0,21.0,19.0,26.0,21.0,22.0,(36.0 OCS),290.0,224.0,RNSYS
23,24th,,Laser,182764,Nicholas Burroughs,25.0,22.0,25.0,(28.0),20.0,(36.0 DNC),24.0,23.0,36.0 DNE,20.0,27.0,15.0,301.0,237.0,GLR
24,25th,,Laser,210667,Darius Mienville,(28.0),27.0,27.0,21.0,(36.0 OCS),24.0,18.0,27.0,25.0,24.0,24.0,23.0,304.0,240.0,LFS
25,26th,,Laser,210331,Hendrik Reidel,23.0,(29.0),29.0,26.0,(36.0 OCS),21.0,27.0,24.0,22.0,25.0,23.0,20.0,305.0,240.0,SAINT FRANCIS Y
26,27th,,Laser,209618,Franco Fitzgerald,21.0,28.0,8.0,25.0,21.0,29.0,26.0,(36.0 DNF),(36.0 DNC),36.0 DNC,25.0,22.0,313.0,241.0,RNSYS
27,28th,,Laser,205459,Chase Reynolds,(30.0),(31.0),20.0,27.0,25.0,26.0,25.0,25.0,27.0,29.0,26.0,26.0,317.0,256.0,PYC
28,29th,,Laser,160107,Scott Gittens,29.0,30.0,(31.0),20.0,27.0,28.0,23.0,26.0,24.0,27.0,(36.0 OCS),25.0,326.0,259.0,BYC
29,30th,,Laser,209075,Gord Welsh,18.0,18.0,21.0,(36.0 DNF),23.0,18.0,(36.0 DNC),36.0 DNC,36.0 DNC,36.0 DNC,36.0 DNC,36.0 DNC,350.0,278.0,SLYC
30,31st,,Laser,209346,Kevin wiersma,(36.0 OCS),12.0,22.0,16.0,(36.0 DNC),36.0 DNC,36.0 DNC,36.0 DNC,36.0 DNC,36.0 DNC,36.0 DNC,36.0 DNC,374.0,302.0,RHYC/NSST
31,32nd,,Laser,203633,Michael Williamson,32.0,33.0,32.0,31.0,(36.0 OCS),(36.0 DNC),28.0,28.0,28.0,28.0,28.0,36.0 OCS,376.0,304.0,TISC
32,33rd,,Laser,198057,Kyle Sudds,31.0,(36.0 DNC),33.0,30.0,(36.0 DNC),36.0 DNC,36.0 DNC,36.0 DNC,36.0 DNC,36.0 DNC,36.0 OCS,27.0,409.0,337.0,BQYC
33,34th,,Laser,209616,Forrest Wachholz,20.0,(36.0 DNC),(36.0 DNC),36.0 DNC,36.0 DNC,36.0 DNC,36.0 DNC,36.0 DNC,36.0 DNC,36.0 DNC,36.0 DNC,36.0 DNC,416.0,344.0,OST/BARRIE YC
34,35th,,Laser,210646,Michael Thomas,(36.0 OCS),32.0,(36.0 RET),36.0 DNC,36.0 DNC,36.0 DNC,36.0 DNC,36.0 DNC,36.0 DNC,36.0 DNC,36.0 DNC,36.0 DNC,428.0,356.0,PCYC
