,Rank,SailNo,HelmName,Nat,Unnamed: 4,Class,R1,R2,R3,R4,R5,R6,Total,Net,Club
0,1st,214514,Luke Ruitenberg,,CAN,LSR,1.0,1.0,1.0,(3.0),2.0,2.0,10.0,7.0,RNSYS/SMSC
1,2nd,212861,Forrest Wachholz,,CAN,LSR,3.0,2.0,2.0,4.0,3.0,(5.0),19.0,14.0,BARRIE YC
2,3rd,212612,Justin Norton,,CAN,LSR,8.0,(13.0 OCS),3.0,1.0,1.0,3.0,29.0,16.0,BYC
3,4th,213679,Hugh Macrae,,CAN,LSR,4.0,(13.0 OCS),5.0,2.0,4.0,1.0,29.0,16.0,KYC
4,5th,208550,Matti Muru,,CAN,LSR,2.0,3.0,4.0,(5.0),5.0,4.0,23.0,18.0,
5,6th,214633,Pierre-Olivier Gagnon,,CAN,LSR,6.0,4.0,(9.0),6.0,8.0,9.0,42.0,33.0,PCYC/CNDM
6,7th,199978,Chris Van Rossem,,CAN,LSR,(11.0),6.0,7.0,8.0,6.0,6.0,44.0,33.0,WRSC
7,8th,212868,Pat Wachholz,,CAN,LSR,(7.0),7.0,6.0,7.0,7.0,7.0,41.0,34.0,BYC
8,9th,21501,Marek Beylich,,CAN,LSR,5.0,5.0,8.0,(9.0),9.0,8.0,44.0,35.0,RSTLYC
9,10th,7,Devlin Lovshin,,CAN,LSR,9.0,8.0,(10.0),10.0,10.0,10.0,57.0,47.0,NSC
10,11th,197120,Cameron Lynn,,CAN,LSR,10.0,9.0,(11.0),11.0,11.0,11.0,63.0,52.0,BHYC
11,12th,204462,Connor Whynot,,CAN,LSR,12.0,10.0,(13.0 UFD),13.0 DNC,13.0 DNC,13.0 DNC,74.0,61.0,WYC
