Pos,Nation,Sail Number,Crew,Race Points
Pos,Nation,Sail Number,Crew,Race Points
1,GUA,GUA 211981,Juan Ignacio Maegli Aguero,1
2,NOR,NOR 201111,Hermann Tomasgaard,2
3,FIN,FIN 214111,Kaarle Tapper,3
4,GBR,GBR 201481,Jack Wetherell,4
5,IRL,IRL 210978,Liam Glynn,5
6,GRE,GRE 212529,Dimitris Papadimitriou,6
7,NZL,NZL 216175,Sam Meech,7
8,SUI,SUI 210211,Eliot Merceron,8
9,TUR,TUR 207480,Alp Rona Rodopman,9
10,USA,USA 206051,Charlie Buckingham,10
11,NZL,NZL 212259,Josh Armit,11
12,GBR,GBR 212791,Michael Beckett,12
13,NZL,NZL 215081,Thomas Saunders,13
14,SWE,SWE 211567,Wilhelm Kark,14
15,FRA,FRA 213932,Jean Baptiste Bernaz,15
16,ARG,ARG 211570,Agustin Vidal Incatasciato,16
17,TTO,TTO 184116,Andrew Lewis,17
18,ITA,ITA 188953,Giovanni Coccoluto,18
19,ISR,ISR 211955,Sagie Glantz,19
20,NED,NED 215438,Niels Broekhuizen,20
21,USA,USA 209071,Henry Marshall,21
22,NZL,NZL 214437,George Gautrey,22
23,AUS,AUS 199012,Tom Burton,23
24,USA,USA 210780,Christopher Barnard,24
25,FRA,FRA 211863,Maxime Mazard,25
26,AUS,AUS 199015,Matthew Wearn,26
27,PER,PER 206115,Stefano Peschiera,27
28,EST,EST 203724,Karl-Martin Rammo,28
29,GBR,GBR 209134,Elliot Hanson,29
30,GBR,GBR 214009,Lorenzo Brando Chiavarini,30
31,ESP,ESP 211710,Joel Rodriguez,31
32,ESP,ESP 211440,Joaquin Blanco,32
33,AUS,AUS 214418,Finn Alexander,33
34,BEL,BEL 207173,William De Smet,34
35,GER,GER 212767,Philipp Buhl,35
36,NED,NED 212968,Yuri Hummel,36
37,BEL,BEL 215353,Wannes Van Laer,37
38,IRL,IRL 210254,Finn Lynch,38
39,URU,URU 212833,Ignacio Rodriguez,39
40,GER,GER 211432,Nik Aaron Willim,40
41,SWE,SWE 215344,Jesper Stalheim,41
42,ITA,ITA 215111,Marco Gallo,42
43,CAN,CAN 212845,Fillah Karim,43
44,CAN,CAN 211542,Robert Davis,44
45,CHN,CHN 212277,Yulong Qiu,45
46,CAN,CAN 214917,Hugh Macrae,46
47,ITA,ITA 214150,Gianmarco Planchestainer,47
48,POL,POL 192583,Tadeusz Kubiak,48
49,GBR,GBR 215379,Jack Cookson,49
50,ESA,ESA 180192,Enrique Jose Arathoon Pacas,50
51,ISR,ISR 214931,Maor Ben Hrosh,51
