,Position,Nation,Sail Number,Net Points,Total Points,Crew
0,1,CYP,CYP 212431,36.0,47.0,Pavlos Kontides
1,2,AUS,AUS 199015,57.0,76.0,Matthew Wearn
2,3,FRA,FRA 213932,62.0,114.0,Jean Baptiste Bernaz
3,4,AUS,AUS 199012,83.0,118.0,Tom Burton
4,5,SWE,SWE 215344,95.0,122.0,Jesper Stalheim
5,6,NZL,NZL 216175,97.0,128.0,Sam Meech
6,7,NZL,NZL 215081,103.0,136.0,Thomas Saunders
7,8,CRO,CRO 212013,106.0,138.0,Tonci Stipanovic
8,9,GBR,GBR 211921,111.0,137.0,Nick Thompson
9,10,NOR,NOR 201111,112.0,155.0,Hermann Tomasgaard
10,11,GBR,GBR 210139,114.0,142.0,Michael Beckett
11,12,CRO,CRO 216063,114.0,146.0,Filip Jurišić
12,13,GBR,GBR 209134,127.0,157.0,Elliot Hanson
13,14,GER,GER 191131,137.0,186.0,Philipp Buhl
14,15,IRL,IRL 210254,146.0,193.0,Finn Lynch
15,16,HUN,HUN 213119,153.0,190.0,Jonatan Vadnai
16,17,PER,PER 206115,157.0,196.0,Stefano Peschiera
17,18,USA,USA 206051,160.0,203.0,Charlie Buckingham
18,19,AUS,AUS 164180,167.0,202.0,Mitchell Kennedy
19,20,RUS,RUS 213011,169.0,215.0,Sergey Komissarov
20,21,KOR,KOR 210793,174.0,226.0,Jeemin Ha
21,22,EST,EST 203724,183.0,224.0,Karl-Martin Rammo
22,23,SGP,SGP 215267,184.0,222.0,Ryan Lo
23,24,BEL,BEL 211121,186.0,238.0,Wannes Van Laer
24,25,ESP,ESP 211710,189.0,230.0,Joel Rodriguez
25,26,GBR,GBR 216159,195.0,233.0,Lorenzo Brando Chiavarini
26,27,SUI,SUI 210211,205.0,257.0,Eliot Merceron
27,28,AUS,AUS 215612,207.0,241.0,Luke Elliott
28,29,AUS,AUS 214418,218.0,260.0,Finn Alexander
29,30,SLO,SLO 214148,220.0,261.0,Zan Luka Zelko
30,31,HUN,HUN 213095,222.0,268.0,Benjamin Vadnai
31,32,ESP,ESP 215311,223.0,258.0,Joaquín Blanco
32,33,BEL,BEL 207173,236.0,288.0,William De Smet
33,34,MAS,MAS 214989,258.0,300.0,Khairulnizam Mohd Afendy
34,35,AUS,AUS 211543,295.0,345.0,Dan Self
35,36,GER,GER 211432,297.0,339.0,Nik Aaron Willim
36,37,JPN,JPN 216245,320.0,368.0,Kazumasa Segawa
37,38,CHN,CHN 211313,325.0,377.0,Yulong Qiu
38,39,JPN,JPN 204996,326.0,374.0,Yoshihiro SUZUKI
39,40,JPN,JPN 215099,336.0,388.0,Kenji Nanri
40,41,NZL,NZL 214437,341.0,393.0,George Gautrey
41,42,AUS,AUS 202706,341.0,387.0,Richard Maher
42,43,JPN,JPN 211154,349.0,399.0,Yuichiro Kitamura
43,44,CHN,CHN 211127,353.0,402.0,Zili Wang
44,45,USA,USA 210780,359.0,411.0,Christopher Barnard
45,46,IRL,IRL 210978,362.0,414.0,Liam Glynn
46,47,HKG,HKG 171979,380.0,432.0,Nicholas Bezy
47,48,GUA,GUA 211981,386.0,438.0,Juan Ignacio Maegli Aguero
48,49,JPN,JPN 208222,389.0,437.0,Ao HIGUCHI
49,50,BUL,BUL 165271,401.0,452.0,Ivo Todorov
50,51,JPN,JPN 215093,417.0,469.0,HIROKI KODAMA
