,Nr,Sail Number,Unnamed: 3,Team  Boat Name,Club,T,N,R1,R2,R3,R4,R5,R6,R7,R8
0,1,GER 209942,Leonard STOCK,GER,Laser Standard,13,9,1,1,1,(4.0),3,1,1,1
2,2,GER 212411,CONRADI Tim,GER,Laser Standard,21,16,2,4,(5.0),1,2,2,3,2
4,3,GER 212409,Christoph MOHRING,GER,Laser Standard,31,24,(7.0),3,2,3,5,3,4,4
6,4,CZE 212481,Vitezslav MOUCKA,CZE,Laser Standard,47,34,5,5,7,2,(13.0),4,5,6
8,5,CZE 215857,Benjamin PRIKRYL,CZE,Laser Standard,45,37,6,2,3,20,1,(8.0),2,3
10,6,GER 176645,Jan O. SCHULZ,GER,Laser Standard,55,45,3,7,6,7,7,5,(10.0),10
12,7,GER 203251,Ralf MARTEN,GER,Laser Standard,65,54,4,10,10,6,9,6,9,(11.0)
14,8,GER 209127,Florian HAFNER,GER,Laser Standard,65,54,8,6,9,10,6,(11.0),8,7
16,9,GER 205207,Lutz HIRSCH,GER,Laser Standard,69,57,9,(12.0),8,12,4,10,6,8
18,10,GER 207000,Thomas LEUKEL,GER,Laser Standard,76,61,11,(15.0),11,5,8,7,14,5
20,11,GER 212767,Johannes JANHSEN,GER,,87,67,10,9,4,11,11,(20.0),13,9
22,12,GER 211228,Christian ROHRBACH,GER,Laser Standard,80,67,(13.0),8,13,8,10,9,7,12
24,13,GER 213340,Ingo LANGER,GER,Laser Standard,105,88,15,11,12,9,14,12,(17.0),15
26,14,GER 20718,Marcel ROHDE,GER,Laser Standard,111,91,(20.0),14,14,13,12,13,11,14
28,15,GER 209801,Christian WERBLOW,GER,Laser Standard,115,97,12,13,16,14,15,15,12,(18.0)
30,16,GER 213242,Kroger JAN-GERD,GER,,126,109,16,16,(17.0),15,16,14,16,16
32,17,GER 200048,Wolfgang FUSS,GER,Laser Standard,140,120,14,18,(20.0),20,20,20,15,13
34,18,GER 155779,Tobias CREFELD,GER,Laser Standard,144,124,17,17,15,(20.0),20,20,18,17
36,19,GER 213972,Andreas DORING,GER,Laser Standard,157,137,18,19,(20.0),20,20,20,20,20
