Name,SailNum,Cty,FinishPlace,Points
William DE SMET,34,BEL,1,1
Milivoj DUKIC,75,MNE,2,2
Kenji NANRI,54,JPN,3,3
Tomas PELLEJERO,80,ARG,4,4
Ethan MCAULLAY,106,AUS,5,5
Julio ALSOGARAY,89,ARG,6,6
Daniil KRUTSKIKH,56,RUS,7,7
Nicholas BEZY,85,HKG,8,8
Richard MAHER,76,AUS,9,9
Khairulnizam MOHD AFENDY,50,MAS,10,10
Alexandre BOITE,70,FRA,11,11
Christian GULDBERG ROST,59,DEN,12,12
Anastasios PANAGIOTIDIS,93,GRE,13,13
Alp Rona RODOPMAN,45,TUR,14,14
Karl-Martin RAMMO,26,EST,15,15
Nicolas ROLAZ,83,SUI,16,16
Santiago SAMPAIO,68,POR,17,17
Dan SELF,81,AUS,18,18
Jakub RODZIEWICZ,49,POL,19,19
Berkay ABAY,78,TUR,20,20
Etienne LE PEN,62,FRA,21,21
Francisco GUARAGNA RIGONAT,18,ARG,22,22
Hugh MACRAE,44,CAN,23,23
Josh ARMIT,77,NZL,24,24
Clemente SEGUEL LACAMARA,60,CHI,25,25
Francisco RENNA,79,ARG,26,26
Juan BISIO,58,ARG,27,27
Ewan MCMAHON,61,IRL,28,28
Maxime MAZARD,42,FRA,29,29
Yoshihiro SUZUKI,82,JPN,30,30
Juan Pablo CARDOZO,108,ARG,31,31
Zac LITTLEWOOD,111,AUS,32,32
Fillah KARIM,46,CAN,33,33
Sam WHALEY,66,GBR,34,34
Emil BENGTSON,64,SWE,35,35
Nicolo VILLA,53,ITA,36,36
Keerati BUALONG,90,THA,37,37
Marco GALLO,40,ITA,38,38
Liam GLYNN,73,IRL,39,39
Nik Aaron WILLIM,32,GER,40,40
Marnix BOS,87,NED,-,43
